"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2014-12-01T05:00:00.000Z","9,599.00","9,599.00","9,599.00","9,599.00","-4.01","-4.51",""
"2015-01-01T05:00:00.000Z","9,674.00","9,674.00","9,674.00","9,674.00","0.7813","0.2771",""
"2015-02-02T05:00:00.000Z","10,261","10,261","10,261","10,261","6.07","5.56",""
"2015-03-02T05:00:00.000Z","10,102","10,102","10,102","10,102","-1.55","-2.05",""
"2015-04-01T04:00:00.000Z","10,490","10,490","10,490","10,490","3.84","3.34",""
"2015-05-01T04:00:00.000Z","10,482","10,482","10,482","10,482","-0.0763","-0.5805",""
"2015-06-01T04:00:00.000Z","10,189","10,189","10,189","10,189","-2.80","-3.30",""
"2015-07-01T04:00:00.000Z","10,350","10,350","10,350","10,350","1.58","1.08",""
"2015-08-03T04:00:00.000Z","9,597.00","9,597.00","9,597.00","9,597.00","-7.28","-7.78",""
"2015-09-01T04:00:00.000Z","9,161.00","9,161.00","9,161.00","9,161.00","-4.54","-5.05",""
"2015-10-01T04:00:00.000Z","9,779.00","9,779.00","9,779.00","9,779.00","6.75","6.24",""
"2015-11-02T05:00:00.000Z","9,676.00","9,676.00","9,676.00","9,676.00","-1.05","-1.56",""
"2015-12-01T05:00:00.000Z","9,490.00","9,490.00","9,490.00","9,490.00","-1.92","-2.43",""
"2016-01-01T05:00:00.000Z","8,940.00","8,940.00","8,940.00","8,940.00","-5.80","-6.30",""
"2016-02-01T05:00:00.000Z","8,650.00","8,650.00","8,650.00","8,650.00","-3.24","-3.75",""
"2016-03-01T05:00:00.000Z","9,215.00","9,215.00","9,215.00","9,215.00","6.53","6.03",""
"2016-04-01T04:00:00.000Z","9,425.00","9,425.00","9,425.00","9,425.00","2.28","1.77",""
"2016-05-02T04:00:00.000Z","9,401.00","9,401.00","9,401.00","9,401.00","-0.2546","-0.7589",""
"2016-06-01T04:00:00.000Z","9,159.00","9,159.00","9,159.00","9,159.00","-2.57","-3.08",""
"2016-07-01T04:00:00.000Z","9,540.00","9,540.00","9,540.00","9,540.00","4.16","3.66",""
